:nemesis	:info	:start-partition	:one
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	7705
0	:invoke	:generate	nil
0	:ok	:generate	134893
0	:invoke	:generate	nil
0	:ok	:generate	462549
0	:invoke	:generate	nil
0	:ok	:generate	764151
0	:invoke	:generate	nil
1	:ok	:generate	498824
1	:invoke	:generate	nil
1	:ok	:generate	2597
0	:ok	:generate	576721
0	:invoke	:generate	nil
0	:ok	:generate	769321
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	661577
0	:invoke	:generate	nil
1	:ok	:generate	292404
0	:ok	:generate	915183
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	500338
1	:ok	:generate	388071
0	:invoke	:generate	nil
0	:ok	:generate	159911
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	526989
0	:invoke	:generate	nil
1	:ok	:generate	340760
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n1"}, "n1" #{"n0"}}]
1	:invoke	:generate	nil
1	:ok	:generate	9505
1	:invoke	:generate	nil
0	:ok	:generate	870150
1	:ok	:generate	368774
0	:invoke	:generate	nil
0	:ok	:generate	315146
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	883804
0	:invoke	:generate	nil
1	:ok	:generate	42678
1	:invoke	:generate	nil
1	:ok	:generate	575009
1	:invoke	:generate	nil
1	:ok	:generate	286312
0	:ok	:generate	717977
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	984687
0	:ok	:generate	214030
1	:invoke	:generate	nil
1	:ok	:generate	298917
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	235064
0	:invoke	:generate	nil
1	:ok	:generate	4819
0	:ok	:generate	195902
0	:invoke	:generate	nil
0	:ok	:generate	132724
0	:invoke	:generate	nil
0	:ok	:generate	34416
1	:invoke	:generate	nil
1	:ok	:generate	258824
0	:invoke	:generate	nil
0	:ok	:generate	104504
0	:invoke	:generate	nil
0	:ok	:generate	982358
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	560396
0	:ok	:generate	384203
0	:invoke	:generate	nil
0	:ok	:generate	76191
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	901490
0	:ok	:generate	189521
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	499749
0	:ok	:generate	623507
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	83328
1	:invoke	:generate	nil
0	:ok	:generate	165862
1	:ok	:generate	441966
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	273717
0	:ok	:generate	496067
1	:invoke	:generate	nil
1	:ok	:generate	910417
0	:invoke	:generate	nil
0	:ok	:generate	358091
0	:invoke	:generate	nil
0	:ok	:generate	717416
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	604092
0	:ok	:generate	520071
0	:invoke	:generate	nil
0	:ok	:generate	573195
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	865378
1	:invoke	:generate	nil
1	:ok	:generate	835633
1	:invoke	:generate	nil
1	:ok	:generate	261129
1	:invoke	:generate	nil
1	:ok	:generate	97271
1	:invoke	:generate	nil
1	:ok	:generate	224785
0	:ok	:generate	816220
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	894506
1	:invoke	:generate	nil
0	:ok	:generate	709989
0	:invoke	:generate	nil
0	:ok	:generate	794912
0	:invoke	:generate	nil
1	:ok	:generate	885335
1	:invoke	:generate	nil
0	:ok	:generate	249686
0	:invoke	:generate	nil
1	:ok	:generate	582013
1	:invoke	:generate	nil
0	:ok	:generate	658840
1	:ok	:generate	281863
0	:invoke	:generate	nil
0	:ok	:generate	15904
1	:invoke	:generate	nil
1	:ok	:generate	340589
0	:invoke	:generate	nil
0	:ok	:generate	50373
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	817679
1	:ok	:generate	473522
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	325761
1	:ok	:generate	724246
1	:invoke	:generate	nil
1	:ok	:generate	570412
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	893802
0	:ok	:generate	482367
1	:invoke	:generate	nil
1	:ok	:generate	289519
0	:invoke	:generate	nil
0	:ok	:generate	631652
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	653702
1	:ok	:generate	692541
0	:invoke	:generate	nil
0	:ok	:generate	898944
0	:invoke	:generate	nil
0	:ok	:generate	824267
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	17458
0	:ok	:generate	773260
0	:invoke	:generate	nil
0	:ok	:generate	435550
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	744691
1	:ok	:generate	421694
0	:invoke	:generate	nil
0	:ok	:generate	339939
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	35219
0	:ok	:generate	308966
0	:invoke	:generate	nil
0	:ok	:generate	841982
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	635663
0	:ok	:generate	306490
0	:invoke	:generate	nil
0	:ok	:generate	866497
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	989563
0	:ok	:generate	972675
0	:invoke	:generate	nil
0	:ok	:generate	210654
1	:invoke	:generate	nil
1	:ok	:generate	544315
0	:invoke	:generate	nil
0	:ok	:generate	658232
0	:invoke	:generate	nil
0	:ok	:generate	991614
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	791724
0	:ok	:generate	314088
0	:invoke	:generate	nil
0	:ok	:generate	358124
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	794114
0	:ok	:generate	869254
0	:invoke	:generate	nil
0	:ok	:generate	437262
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	459497
0	:ok	:generate	485961
0	:invoke	:generate	nil
0	:ok	:generate	808189
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	144759
0	:ok	:generate	492368
0	:invoke	:generate	nil
0	:ok	:generate	898972
1	:invoke	:generate	nil
1	:ok	:generate	421445
0	:invoke	:generate	nil
0	:ok	:generate	505928
0	:invoke	:generate	nil
0	:ok	:generate	163066
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	239973
0	:ok	:generate	911548
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	632360
0	:invoke	:generate	nil
1	:ok	:generate	852906
0	:ok	:generate	178384
0	:invoke	:generate	nil
0	:ok	:generate	802127
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	721969
0	:ok	:generate	67279
0	:invoke	:generate	nil
0	:ok	:generate	946252
1	:invoke	:generate	nil
1	:ok	:generate	31921
0	:invoke	:generate	nil
0	:ok	:generate	879894
0	:invoke	:generate	nil
0	:ok	:generate	953610
1	:invoke	:generate	nil
1	:ok	:generate	994034
0	:invoke	:generate	nil
0	:ok	:generate	557593
0	:invoke	:generate	nil
0	:ok	:generate	783611
1	:invoke	:generate	nil
1	:ok	:generate	662804
0	:invoke	:generate	nil
0	:ok	:generate	133087
0	:invoke	:generate	nil
0	:ok	:generate	214057
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	180429
0	:ok	:generate	159759
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	119384
0	:invoke	:generate	nil
1	:ok	:generate	498400
0	:ok	:generate	940759
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	639156
1	:invoke	:generate	nil
0	:ok	:generate	327714
1	:ok	:generate	493382
0	:invoke	:generate	nil
0	:ok	:generate	771274
1	:invoke	:generate	nil
1	:ok	:generate	283222
0	:invoke	:generate	nil
0	:ok	:generate	112684
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	265486
0	:invoke	:generate	nil
1	:ok	:generate	93886
0	:ok	:generate	325269
0	:invoke	:generate	nil
0	:ok	:generate	555975
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	983162
1	:invoke	:generate	nil
1	:ok	:generate	972897
0	:ok	:generate	390274
1	:invoke	:generate	nil
1	:ok	:generate	399016
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	684094
1	:ok	:generate	904585
1	:invoke	:generate	nil
1	:ok	:generate	463562
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	204012
0	:ok	:generate	625673
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	197531
1	:invoke	:generate	nil
0	:ok	:generate	116425
1	:ok	:generate	466411
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	89160
0	:invoke	:generate	nil
1	:ok	:generate	423710
1	:invoke	:generate	nil
0	:ok	:generate	906226
1	:ok	:generate	386431
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	684900
1	:ok	:generate	356330
1	:invoke	:generate	nil
1	:ok	:generate	832109
0	:invoke	:generate	nil
0	:ok	:generate	723115
0	:invoke	:generate	nil
0	:ok	:generate	921741
1	:invoke	:generate	nil
1	:ok	:generate	455303
0	:invoke	:generate	nil
0	:ok	:generate	827345
0	:invoke	:generate	nil
0	:ok	:generate	254476
1	:invoke	:generate	nil
1	:ok	:generate	438406
0	:invoke	:generate	nil
0	:ok	:generate	43356
0	:invoke	:generate	nil
0	:ok	:generate	492859
1	:invoke	:generate	nil
1	:ok	:generate	904170
0	:invoke	:generate	nil
0	:ok	:generate	753550
0	:invoke	:generate	nil
0	:ok	:generate	88264
1	:invoke	:generate	nil
1	:ok	:generate	999327
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	37155
1	:ok	:generate	571264
1	:invoke	:generate	nil
1	:ok	:generate	4421
0	:invoke	:generate	nil
0	:ok	:generate	770137
0	:invoke	:generate	nil
0	:ok	:generate	46174
1	:invoke	:generate	nil
1	:ok	:generate	256545
0	:invoke	:generate	nil
0	:ok	:generate	415410
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	145167
1	:ok	:generate	876719
0	:invoke	:generate	nil
0	:ok	:generate	356672
0	:invoke	:generate	nil
0	:ok	:generate	688410
1	:invoke	:generate	nil
1	:ok	:generate	493281
0	:invoke	:generate	nil
0	:ok	:generate	813035
0	:invoke	:generate	nil
0	:ok	:generate	998035
1	:invoke	:generate	nil
1	:ok	:generate	968910
0	:invoke	:generate	nil
0	:ok	:generate	926790
0	:invoke	:generate	nil
0	:ok	:generate	830450
1	:invoke	:generate	nil
1	:ok	:generate	879608
0	:invoke	:generate	nil
0	:ok	:generate	798970
0	:invoke	:generate	nil
0	:ok	:generate	944986
1	:invoke	:generate	nil
1	:ok	:generate	268972
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	37198
1	:ok	:generate	578598
1	:invoke	:generate	nil
1	:ok	:generate	320172
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	388849
1	:ok	:generate	372862
1	:invoke	:generate	nil
1	:ok	:generate	500925
0	:invoke	:generate	nil
0	:ok	:generate	842810
0	:invoke	:generate	nil
0	:ok	:generate	462225
1	:invoke	:generate	nil
1	:ok	:generate	628033
0	:invoke	:generate	nil
0	:ok	:generate	720915
0	:invoke	:generate	nil
0	:ok	:generate	985298
1	:invoke	:generate	nil
1	:ok	:generate	940554
0	:invoke	:generate	nil
0	:ok	:generate	110848
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	586442
0	:ok	:generate	130317
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	904556
