:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1450085586237959400
2	:ok	:generate	8229435695568358000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	2429869649549242000
1	:ok	:generate	1603501556103231500
2	:ok	:generate	2658538880352834000
2	:invoke	:generate	nil
2	:ok	:generate	5407221884914080000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	1811386200388663000
1	:invoke	:generate	nil
0	:ok	:generate	8379651943118402000
2	:invoke	:generate	nil
2	:ok	:generate	4564190705313518000
1	:ok	:generate	7493480399199840000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	9004350038426421000
2	:invoke	:generate	nil
1	:ok	:generate	2998708465564162600
2	:ok	:generate	4788455463519751000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	7277027700086503000
1	:invoke	:generate	nil
0	:ok	:generate	5983402889266184000
1	:ok	:generate	3066116327314977300
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	5674152292695326000
2	:ok	:generate	2082209611577731300
0	:invoke	:generate	nil
0	:ok	:generate	6822232986987000000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	4746375723246636000
2	:invoke	:generate	nil
1	:ok	:generate	2079087527389415400
2	:ok	:generate	6908451412349318
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	2091169375526565000
1	:ok	:generate	7479429660591810000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	2977127943307130400
0	:invoke	:generate	nil
1	:ok	:generate	8756654823459462000
1	:invoke	:generate	nil
0	:ok	:generate	900566132466953500
1	:ok	:generate	5586133855190183000
1	:invoke	:generate	nil
1	:ok	:generate	7341847115276457000
2	:invoke	:generate	nil
2	:ok	:generate	256191281334813380
0	:invoke	:generate	nil
0	:ok	:generate	4177574690978766000
0	:invoke	:generate	nil
0	:ok	:generate	2790392370971096600
1	:invoke	:generate	nil
1	:ok	:generate	3408115414178694000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	1838759037444547800
0	:invoke	:generate	nil
0	:ok	:generate	8175288679061164000
2	:ok	:generate	404008078482700740
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	8403900271745932000
0	:invoke	:generate	nil
2	:ok	:generate	8812582286038912000
1	:invoke	:generate	nil
0	:ok	:generate	5515710924569678000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	6863941104912378000
0	:ok	:generate	6168661828302302000
2	:ok	:generate	3998707327837617700
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
0	:ok	:generate	8911033327265591000
0	:invoke	:generate	nil
0	:ok	:generate	4105330067489487400
1	:invoke	:generate	nil
1	:ok	:generate	7148200786437492000
2	:invoke	:generate	nil
2	:ok	:generate	1278093198464673500
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6790008313064620000
1	:ok	:generate	1339430526787550200
1	:invoke	:generate	nil
1	:ok	:generate	2382718526924459500
2	:invoke	:generate	nil
2	:ok	:generate	1132786048948295200
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1936531855536683300
1	:ok	:generate	4456632643599555000
1	:invoke	:generate	nil
1	:ok	:generate	8877033189616139000
2	:invoke	:generate	nil
2	:ok	:generate	4423538526463404000
0	:invoke	:generate	nil
0	:ok	:generate	2126411099505494500
0	:invoke	:generate	nil
0	:ok	:generate	380485707034850370
1	:invoke	:generate	nil
1	:ok	:generate	7051495878678839000
2	:invoke	:generate	nil
2	:ok	:generate	3372534823602203600
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7563812330635881000
1	:ok	:generate	3921035167424200000
1	:invoke	:generate	nil
1	:ok	:generate	764641875082407800
2	:invoke	:generate	nil
2	:ok	:generate	5321937174223447000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	5989719031823435000
0	:ok	:generate	7554303173099884000
1	:invoke	:generate	nil
1	:ok	:generate	3189580748582577700
2	:invoke	:generate	nil
2	:ok	:generate	3440585935042337300
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6655480257984655000
1	:ok	:generate	6654943596194652000
1	:invoke	:generate	nil
1	:ok	:generate	4449923627778002400
2	:invoke	:generate	nil
2	:ok	:generate	6562618852706026000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6588400728227199000
1	:ok	:generate	4288939318027009500
1	:invoke	:generate	nil
1	:ok	:generate	4786861553336435000
2	:invoke	:generate	nil
2	:ok	:generate	7969768762979987000
0	:invoke	:generate	nil
0	:ok	:generate	8579530223677548000
0	:invoke	:generate	nil
0	:ok	:generate	7698319641774489000
1	:invoke	:generate	nil
1	:ok	:generate	1704304049412159700
2	:invoke	:generate	nil
2	:ok	:generate	7275114694786018000
0	:invoke	:generate	nil
0	:ok	:generate	1924796533922863000
0	:invoke	:generate	nil
0	:ok	:generate	8707916927920947000
1	:invoke	:generate	nil
1	:ok	:generate	411656843298299700
2	:invoke	:generate	nil
2	:ok	:generate	1803719406699811300
0	:invoke	:generate	nil
0	:ok	:generate	3475220753966678000
0	:invoke	:generate	nil
0	:ok	:generate	9209969393341757000
1	:invoke	:generate	nil
1	:ok	:generate	8541454415461862000
2	:invoke	:generate	nil
2	:ok	:generate	7251456069399381000
0	:invoke	:generate	nil
0	:ok	:generate	305898049373480640
0	:invoke	:generate	nil
0	:ok	:generate	226073396165327800
1	:invoke	:generate	nil
1	:ok	:generate	167205557085208160
2	:invoke	:generate	nil
2	:ok	:generate	6604375142351823000
0	:invoke	:generate	nil
